cluster	leaves
11	OQ468653.1|2022-07-11,OQ565497.1|2022-07-07,OQ468655.1|2022-07-12,OQ419021.1|2022-07-22,OQ469073.1|2022-08-04,OQ468716.1|2022-09-02,OQ565489.1|2022-07-07,OQ468603.1|2022-07-05,OQ468967.1|2022-08-15,OQ565478.1|2022-07-14,OQ419028.1|2022-07-24,OQ468535.1|2022-07-08,OQ468775.1|2022-07-21
12	OQ468484.1|2022-08-08,OQ468563.1|2022-07-09,OQ468644.1|2022-07-11,OQ468629.1|2022-07-19,OQ565456.1|2022-07-13,OQ468746.1|2022-07-18,OQ469270.1|2022-07-05,OQ565495.1|2022-07-07,OQ565529.1|2022-07-11,OQ565540.1|2022-07-11,OQ504443.1|2022-07-20,OQ565504.1|2022-07-08
13	OQ469174.1|2022-07-05,OQ468816.1|2022-06-30,OQ469018.1|2022-06-29,OQ469052.1|2022-07-03,OQ468768.1|2022-07-19,OQ468691.1|2022-07-09,OQ469256.1|2022-07-05,OQ504422.1|2022-08-12,OQ468568.1|2022-06-27,OQ468945.1|2022-06-27
14	OQ468468.1|2022-07-31,OQ504471.1|2022-07-29,OQ469012.1|2022-07-19,OQ468642.1|2022-07-11,OQ504454.1|2022-07-25,OQ468985.1|2022-09-01,OQ468635.1|2022-07-19,OQ468638.1|2022-07-19,OQ504445.1|2022-07-22
15	OQ504380.1|2022-08-05,OQ468976.1|2022-08-21,OQ468487.1|2022-08-11,OQ468964.1|2022-08-12,OQ468491.1|2022-08-15,OQ504431.1|2022-08-26,OQ468499.1|2022-08-22,OQ468486.1|2022-08-11
16	OQ469041.1|2022-06-23,OQ468860.1|2022-08-03,OQ469119.1|2022-07-27,OQ419003.1|2022-06-28,OQ504434.1|2022-09-01,OQ468982.1|2022-08-29,OQ419062.1|2022-07-18,OQ419005.1|2022-06-29
17	OQ565454.1|2022-07-14,OQ468735.1|2022-07-15,OQ468542.1|2022-07-10,OQ468939.1|2022-06-23,OQ504423.1|2022-08-15,OQ468909.1|2022-08-01,OQ468506.1|2022-07-18
18	OQ504419.1|2022-08-12,OQ419014.1|2022-09-13,OQ565527.1|2022-07-06,OQ419058.1|2022-07-18,OQ419073.1|2022-07-11,OQ419067.1|2022-07-17,OQ419064.1|2022-07-19
19	OQ565455.1|2022-07-13,OQ468983.1|2022-08-31,OQ468750.1|2022-07-19,OQ565471.1|2022-07-15,OQ565544.1|2022-07-11,OQ468671.1|2022-07-16,OQ468804.1|2022-07-10
20	OQ504414.1|2022-08-10,OQ565453.1|2022-07-13,OQ565524.1|2022-07-07,OQ468876.1|2022-07-01,OQ469208.1|2022-07-28,OQ468493.1|2022-08-16
21	OQ419007.1|2022-07-04,OQ419019.1|2022-07-22,OQ468607.1|2022-07-08,OQ469058.1|2022-08-02,OQ468524.1|2022-07-05,OQ468681.1|2022-07-08
22	OQ468475.1|2022-08-04,OQ468712.1|2022-07-25,OQ469197.1|2022-07-24,OQ468761.1|2022-07-20,OQ468903.1|2022-07-27,OQ468759.1|2022-07-19
23	OQ468778.1|2022-10-13,OQ468480.1|2022-08-06,OQ468818.1|2022-06-25,OQ468988.1|2022-07-21,OQ468520.1|2022-07-12,OQ468951.1|2022-06-06
24	OQ468685.1|2022-07-07,OQ468514.1|2022-07-14,OQ468489.1|2022-08-15,OQ469194.1|2022-07-22,OQ469115.1|2022-07-04
25	OQ504389.1|2022-06-14,OQ468572.1|2022-07-05,OQ468502.1|2022-08-31,OQ469283.1|2022-07-05,OQ468598.1|2022-06-28
26	OQ468581.1|2022-07-05,OQ468559.1|2022-07-03,OQ468560.1|2022-07-03,OQ565517.1|2022-07-07,OQ468946.1|2022-06-28
27	OQ468492.1|2022-08-16,OQ468749.1|2022-07-19,OQ419052.1|2022-07-16,OQ565498.1|2022-07-07,OQ468519.1|2022-07-12
28	OQ565481.1|2022-07-05,OQ468893.1|2022-07-22,OQ468628.1|2022-07-18,OQ419060.1|2022-07-18,OQ468723.1|2022-07-14
29	OQ469130.1|2022-06-17,OQ468926.1|2022-06-14,OQ469217.1|2022-07-07,OQ504375.1|2022-06-01
30	OQ468850.1|2022-08-03,OQ504441.1|2022-07-21,OQ468669.1|2022-07-11,OQ468902.1|2022-07-27
31	OQ419038.1|2022-07-27,OQ468883.1|2022-07-21,OQ468867.1|2022-08-06,OQ504437.1|2022-09-13
32	OQ469176.1|2022-07-01,OQ469284.1|2022-07-06,OQ468494.1|2022-08-17,OQ469214.1|2022-07-16
33	OQ419013.1|2022-09-08,OQ468614.1|2022-09-30,OQ468639.1|2022-07-18,OQ468621.1|2022-07-15
34	OQ565448.1|2022-07-13,OQ565460.1|2022-07-14,OQ418999.1|2022-11-16,OQ468682.1|2022-07-07
35	OQ504462.1|2022-07-25,OQ468481.1|2022-08-05,OQ419055.1|2022-07-18
36	OQ468869.1|2022-08-08,OQ468676.1|2022-07-07,OQ419012.1|2022-09-07
37	OQ469275.1|2022-07-05,OQ469047.1|2022-07-01,OQ419004.1|2022-06-29
38	OQ469135.1|2022-06-22,OQ469150.1|2022-06-27,OQ469070.1|2022-08-03
39	OQ565486.1|2022-07-07,OQ468544.1|2022-07-10,OQ469180.1|2022-08-01
40	OQ468861.1|2022-08-04,OQ565501.1|2022-07-07,OQ565514.1|2022-07-06
41	OQ504459.1|2022-07-21,OQ468670.1|2022-07-13,OQ469306.1|2022-07-27
42	OQ419008.1|2022-08-11,OQ468479.1|2022-08-05,OQ469042.1|2022-06-23
43	OQ469301.1|2022-07-05,OQ565493.1|2022-07-07,OQ469221.1|2022-07-05
44	OQ419022.1|2022-07-22,OQ419057.1|2022-07-15,OQ419053.1|2022-07-15
45	OQ468579.1|2022-07-05,OQ469231.1|2022-06-25,OQ469148.1|2022-06-25
46	OQ469234.1|2022-06-26,OQ469232.1|2022-06-25,OQ469229.1|2022-06-30
47	OQ469140.1|2022-06-22,OQ469031.1|2022-06-18,OQ468922.1|2022-06-11
48	OQ469218.1|2022-07-06,OQ469009.1|2022-08-10,OQ469280.1|2022-07-05
49	OQ565457.1|2022-07-09,OQ565519.1|2022-07-08,OQ469263.1|2022-07-05
50	OQ468625.1|2022-07-18,OQ468533.1|2022-07-07,OQ504412.1|2022-07-01
51	OQ468588.1|2022-07-05,OQ468605.1|2022-07-06
52	OQ468969.1|2022-08-15,OQ469300.1|2022-07-01
53	OQ468565.1|2022-06-26,OQ469025.1|2022-06-11
54	OQ468825.1|2022-06-16,OQ468878.1|2022-07-21
55	OQ419034.1|2022-07-26,OQ419066.1|2022-07-14
56	OQ468686.1|2022-07-07,OQ504411.1|2022-06-28
57	OQ468609.1|2022-08-16,OQ468787.1|2022-07-12
58	OQ469138.1|2022-06-22,OQ469238.1|2022-06-27
59	OQ469209.1|2022-07-29,OQ418994.1|2022-07-06
60	OQ468884.1|2022-07-22,OQ469213.1|2022-07-18
61	OQ469057.1|2022-07-05,OQ469051.1|2022-06-30
62	OQ468898.1|2022-07-25,OQ468534.1|2022-07-06
63	OQ504393.1|2022-06-20,OQ504394.1|2022-06-20
64	OQ419061.1|2022-07-18,OQ469075.1|2022-08-04
65	OQ468965.1|2022-08-15,OQ468611.1|2022-08-10
66	OQ419083.1|2022-07-05,OQ565508.1|2022-07-08
67	OQ565521.1|2022-07-09,OQ469262.1|2022-07-05
68	OQ468526.1|2022-07-07,OQ468947.1|2022-08-04
69	OQ419017.1|2022-07-22,OQ419068.1|2022-07-19
70	OQ469071.1|2022-08-02,OQ468763.1|2022-07-15
71	OQ468956.1|2022-08-11,OQ468663.1|2022-07-11
72	OQ469203.1|2022-07-26,OQ469298.1|2022-07-07
73	OQ468557.1|2022-07-10,OQ565537.1|2022-07-10
74	OQ468725.1|2022-07-15,OQ419030.1|2022-07-25
75	OQ468916.1|2022-06-01,OQ468587.1|2022-07-05
76	OQ504447.1|2022-07-21,OQ468695.1|2022-07-10
77	OQ468500.1|2022-08-29,OQ469215.1|2022-07-05
78	OQ469100.1|2022-07-22,OQ469008.1|2022-08-01
79	OQ469044.1|2022-07-01,OQ504409.1|2022-06-27
80	OQ468591.1|2022-07-07,OQ468874.1|2022-07-04
81	OQ469033.1|2022-06-20,OQ468833.1|2022-06-29
82	OQ469295.1|2022-07-06,OQ468553.1|2022-07-11
83	OQ468618.1|2022-07-15,OQ565480.1|2022-07-14
84	OQ469251.1|2022-07-05,OQ469136.1|2022-06-22
85	OQ469078.1|2022-08-03
86	OQ469225.1|2022-07-05
87	OQ469065.1|2022-08-02
88	OQ469237.1|2022-06-27
89	OQ468631.1|2022-07-19
90	OQ419016.1|2022-07-21
91	OQ468912.1|2022-07-08
92	OQ469024.1|2022-06-09
93	OQ468819.1|2022-06-27
94	OQ468841.1|2022-08-01
95	OQ468505.1|2022-07-20
96	OQ468760.1|2022-07-20
97	OQ469081.1|2022-08-08
98	OQ468612.1|2022-09-30
99	OQ468928.1|2022-06-14
100	OQ469228.1|2022-07-02
101	OQ565494.1|2022-07-07
102	OQ468936.1|2022-06-22
103	OQ469091.1|2022-08-15
104	OQ468666.1|2022-07-12
105	OQ468694.1|2022-07-08
106	OQ469036.1|2022-06-17
107	OQ468848.1|2022-08-02
108	OQ468471.1|2022-08-01
109	OQ565463.1|2022-07-14
110	OQ419077.1|2022-07-10
111	OQ419023.1|2022-07-25
112	OQ469131.1|2022-06-16
113	OQ469128.1|2022-06-16
114	OQ468589.1|2022-07-07
115	OQ468477.1|2022-08-05
116	OQ469288.1|2022-07-07
117	OQ468590.1|2022-07-05
118	OQ468596.1|2022-07-05
119	OQ419002.1|2022-06-21
120	OQ468720.1|2022-09-27
121	OQ469001.1|2022-07-29
122	OQ469291.1|2022-07-05
123	OQ468783.1|2022-10-21
124	OQ419042.1|2022-07-27
125	OQ469028.1|2022-06-13
126	OQ468920.1|2022-06-10
127	OQ468700.1|2022-07-11
128	OQ469063.1|2022-08-02
129	OQ469201.1|2022-07-26
130	OQ565468.1|2022-07-14
131	OQ468974.1|2022-08-19
132	OQ468866.1|2022-08-05
133	OQ565450.1|2022-07-13
134	OQ565510.1|2022-07-08
135	OQ565473.1|2022-07-15
136	OQ469116.1|2022-07-30
137	OQ469067.1|2022-08-02
138	OQ468996.1|2022-07-25
139	OQ504384.1|2022-05-28
140	OQ468843.1|2022-08-01
141	OQ468864.1|2022-08-05
142	OQ469004.1|2022-07-28
143	OQ469244.1|2022-06-27
144	OQ469151.1|2022-06-27
145	OQ469252.1|2022-07-04
146	OQ469281.1|2022-07-05
147	OQ469230.1|2022-07-05
148	OQ468732.1|2022-07-18
149	OQ468899.1|2022-07-25
150	OQ468647.1|2022-07-11
151	OQ469267.1|2022-07-06
152	OQ468521.1|2022-07-05
153	OQ504467.1|2022-07-27
154	OQ469190.1|2022-07-23
155	OQ419050.1|2022-10-11
156	OQ565466.1|2022-10-31
157	OQ468814.1|2022-06-30
158	OQ504403.1|2022-06-26
159	OQ468664.1|2022-07-11
160	OQ468569.1|2022-07-01
161	OQ504425.1|2022-08-17
162	OQ468592.1|2022-07-06
163	OQ469019.1|2022-07-11
164	OQ468881.1|2022-07-21
165	OQ565476.1|2022-07-16
166	OQ469286.1|2022-07-05
167	OQ468837.1|2022-07-01
168	OQ469126.1|2022-06-13
169	OQ468938.1|2022-06-22
170	OQ565451.1|2022-07-13
171	OQ469049.1|2022-07-01
172	OQ468830.1|2022-07-01
173	OQ468891.1|2022-07-22
174	OQ468650.1|2022-07-11
175	OQ469160.1|2022-06-26
176	OQ469309.1|2022-07-07
177	OQ468525.1|2022-07-07
178	OQ469029.1|2022-06-14
179	OQ468845.1|2022-08-01
180	OQ469040.1|2022-06-23
181	OQ419015.1|2022-07-22
182	OQ469166.1|2022-06-30
183	OQ469184.1|2022-08-01
184	OQ468756.1|2022-07-12
185	OQ418992.1|2022-07-05
186	OQ468467.1|2022-08-02
187	OQ504376.1|2022-07-12
188	OQ504395.1|2022-06-21
189	OQ469163.1|2022-06-29
190	OQ565458.1|2022-07-14
191	OQ469205.1|2022-07-27
192	OQ469079.1|2022-08-05
193	OQ565523.1|2022-07-08
194	OQ468792.1|2022-07-12
195	OQ468577.1|2022-07-05
196	OQ419044.1|2022-07-29
197	OQ565467.1|2022-07-14
198	OQ504418.1|2022-08-12
199	OQ419010.1|2022-08-19
200	OQ419020.1|2022-07-22
201	OQ468541.1|2022-07-11
202	OQ468923.1|2022-06-10
203	OQ469060.1|2022-08-01
204	OQ504396.1|2022-06-22
205	OQ469159.1|2022-06-28
206	OQ469112.1|2022-07-05
207	OQ468576.1|2022-07-06
208	OQ468808.1|2022-07-13
209	OQ419001.1|2022-11-18
210	OQ469125.1|2022-06-14
211	OQ468640.1|2022-07-11
212	OQ419006.1|2022-07-05
213	OQ504404.1|2022-06-27
214	OQ419079.1|2022-06-25
215	OQ469171.1|2022-07-01
216	OQ469099.1|2022-07-22
217	OQ469185.1|2022-08-02
218	OQ419036.1|2022-07-26
219	OQ469039.1|2022-06-24
220	OQ469173.1|2022-07-01
221	OQ468873.1|2022-09-16
222	OQ468585.1|2022-07-07
223	OQ468593.1|2022-07-05
224	OQ468868.1|2022-08-08
225	OQ504378.1|2022-07-14
226	OQ469127.1|2022-06-16
227	OQ468692.1|2022-07-09
228	OQ419089.1|2023-01-06
229	OQ468699.1|2022-07-11
230	OQ469133.1|2022-06-18
231	OQ469158.1|2022-06-29
232	OQ468932.1|2022-06-22
233	OQ468617.1|2022-07-18
234	OQ468501.1|2022-08-30
235	OQ468930.1|2022-06-20
236	OQ469308.1|2022-08-24
237	OQ419086.1|2023-01-03
238	OQ468914.1|2022-07-25
239	OQ565470.1|2022-07-14
240	OQ565475.1|2022-07-16
241	OQ468915.1|2022-05-28
242	OQ469021.1|2022-05-25
243	OQ468780.1|2022-10-14
244	OQ468741.1|2022-07-18
245	OQ468929.1|2022-06-18
246	OQ469030.1|2022-06-18
247	OQ469108.1|2022-07-24
248	OQ565533.1|2022-07-07
